video_id,video_url,date_time,pinned,views,likes,comments,caption,privacy
7483034038479998215,https://www.tiktok.com/@lifetechsg/video/7483034038479998215,"Mar 30, 11:00 AM",No,0,0,0,"Check out this Human Presence Sensor! 🌟 With mmWave radar tech, it detects movement, static states, and even sleep! Automate your home lighting and devices with smart scene linkage via the Smart Life ...",N/A
7483047425486245128,https://www.tiktok.com/@lifetechsg/video/7483047425486245128,"Mar 29, 11:00 AM",No,0,0,0,"Out on a site visit today helping to plan smart switch upgrades ⚡️💡 Making this office smarter, more efficient, and ready for the future! 🚀🏢 📲 WhatsApp us at 9776 0971 for more details or to book a pe...",N/A
7424784797551086855,https://www.tiktok.com/@lifetechsg/video/7424784797551086855,Pinned,Yes,1598,13,1,"See you at Zenterra Lighting, Jurong East! Call or visit us today to find out more! 😊 ⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣ 📲 WhatsApp us at 9776 0971 to book an appointment at 🏢 Zenterra Lighting and see our sma...",N/A
7279737570077019399,https://www.tiktok.com/@lifetechsg/video/7279737570077019399,Pinned,Yes,80K,836,42,Using an automatic laundry system in your home? #lifetechsg #singapore #sg #sgtiktok #fyp #learnontiktok #homeautomation #automaticlaundrysystem #steigen,N/A
7208692811393223938,https://www.tiktok.com/@lifetechsg/video/7208692811393223938,Pinned,Yes,119K,1013,31,Have you thought about your router placement? #router #lifetechsg #homeautomation #smarthome #customerservice,N/A
7483034729797733650,https://www.tiktok.com/@lifetechsg/video/7483034729797733650,"Mar 27, 11:00 AM",No,288,5,0,Check out @biosystem.com.sg's smart door and gate locks now at an exclusive price! 📲 WhatsApp us at 9776 0971 for more details or to book a personalized consultation. 𝗚𝗘𝗧 𝗦𝗠𝗔𝗥𝗧 - 𝗚𝗘𝗧 𝗦𝗠𝗔𝗥𝗧 𝗪𝗜𝗧𝗛 𝗨𝗦! 📍 ...,N/A
7483033528175774994,https://www.tiktok.com/@lifetechsg/video/7483033528175774994,"Mar 25, 11:00 AM",No,609,9,0,Looking to install a vanity connected to your smart home?🪞💡 Watch this video to find out what you should do!🌟 📲 WhatsApp us at 9776 0971 for more details or to book a personalized consultation. 𝗚𝗘𝗧 𝗦𝗠...,N/A
7483027219380456712,https://www.tiktok.com/@lifetechsg/video/7483027219380456712,"Mar 23, 11:00 AM",No,988,8,0,"🔥 Protect your home with a fire-rated smart door lock🚪🔒 Designed to withstand high temperatures, this smart door lock enhances home safety. Stay secure in any situation! Get it now at an exclusive roa...",N/A
7482997039610023186,https://www.tiktok.com/@lifetechsg/video/7482997039610023186,"Mar 21, 11:00 AM",No,9465,51,0,🏡✨ Ever thought of owning an automatic laundry system in your smart home? 🧺🤖 Here’s what you need to know before making the switch! 🚀👕 📲 WhatsApp us at 9776 0971 for more details or to book a personal...,N/A
7480843388665875720,https://www.tiktok.com/@lifetechsg/video/7480843388665875720,"Mar 19, 11:00 AM",No,523,4,3,"🚪Double the doors, half the effort!🚪⏳With the G6D gate lock, instead of just unlocking the gate, you can unlock the door at the same time! Double the doors, half the effort ✨ Get it now at a great pro...",N/A
7482988633360796935,https://www.tiktok.com/@lifetechsg/video/7482988633360796935,"Mar 18, 11:37 AM",No,740,3,0,Replying to @gowheresg hope this clarifies! @BIOSYSTEM 📲 WhatsApp us at 9776 0971 for more details or to book a personalized consultation. 𝗚𝗘𝗧 𝗦𝗠𝗔𝗥𝗧 - 𝗚𝗘𝗧 𝗦𝗠𝗔𝗥𝗧 𝗪𝗜𝗧𝗛 𝗨𝗦! 📍 LTSG Office 33 Mohamed Sulta...,N/A
7480101502514662664,https://www.tiktok.com/@lifetechsg/video/7480101502514662664,"Mar 15, 11:00 AM",No,791,14,0,🔒 Smart Security Reinvented! 🚪✨ Triple Mortise Lock + Manual Lock for Extra Safety 🔑📱 Unlock with Ease Using Your iAppliances App! Get it now at a great promotional price with FREE installation ! 🎁📲 📲...,N/A
7480100864028429575,https://www.tiktok.com/@lifetechsg/video/7480100864028429575,"Mar 13, 11:00 AM",No,871,9,0,"🔐🚪 Featuring a large HD door viewer with two-way audio, you can see and talk to visitors from anywhere! Get it now at a great promotional price with FREE installation ! 🎁📲 📲 WhatsApp us at 9776 0971 f...",N/A
