video_id,video_url,date_time,pinned,views,likes,comments,caption,privacy
7484554665833663751,https://www.tiktok.com/@shawndowhat/video/7484554665833663751,"Mar 22, 4:54 PM",No,733,22,4,*Minimum spend on selected dishes and discount applies only for selected dishes. Please check with the restaurant for more information *** 🍜✨ Craving a unique fusion of Thai & Teochew flavors? Dive in...,N/A
7484056333780552968,https://www.tiktok.com/@shawndowhat/video/7484056333780552968,"Mar 21, 8:41 AM",No,624,12,1,"🍕✨ The Sofia Loren Pizza is a flavor BOMB! 😍 Ricotta-studded crust, creamy burrata, zesty anchovies, & a sprinkle of black pepper 🌶… finished with fresh basil, oregano, & EVOO. 🤤💛 Tag your pizza buddy...",N/A
7483766168847813906,https://www.tiktok.com/@shawndowhat/video/7483766168847813906,"Mar 20, 1:54 PM",No,768,19,0,"🦀8picurean Crab Cake with Chilli Crab Sauce ✨ ‘It tastes different, yet so familiar.’ Dive into this UNIQUE Chili Crab Cake with 96% blue swimming crab meat! 🎉 Created for National Day, this dish is a...",N/A
7483429229493849362,https://www.tiktok.com/@shawndowhat/video/7483429229493849362,"Mar 19, 4:07 PM",No,609,23,5,Reservations Here -> +65 9817 8779 🍴✨ Ready to taste the UNIQUE? Dive into 8picure’s one-of-a-kind Singaporean-Italian fusion dishes you WON’T find anywhere else! 🦀🍝 From the 8picurean Crabcake with C...,N/A
7483311175665454354,https://www.tiktok.com/@shawndowhat/video/7483311175665454354,"Mar 19, 8:29 AM",No,708,26,1,Ever tried a pizza that’s literally a flavor explosion? 🍕💥 @il Clay Supper Club The Six Stars ($28/$42) isn’t just a pizza—it’s a masterpiece! 🎨 Created by Chef Ciro during his time at one of the *Lea...,N/A
7481317769410039047,https://www.tiktok.com/@shawndowhat/video/7481317769410039047,"Mar 13, 11:33 PM",No,45K,820,62,"🍽️✨🇵🇭 From mouthwatering *lechon* to savory *puso* (hanging rice), every bite tells a story of tradition and passion. 🐷🌾 📍 Singapore Expo ⏰ Monday to Saturday | 11:30 AM - 9:30 PM 🏝️ Founded with love...",N/A
7480559957377649927,https://www.tiktok.com/@shawndowhat/video/7480559957377649927,"Mar 11, 10:33 PM",No,2760,49,1,"🔥🐣 Bangkok’s viral Running Egg has cracked into Jurong East! 🥚✨ 🎉 New menu alert! Indulge in Thai MAMA Noodles 🍜 & crispy Luncheon Meat Chips 🍖—paper-thin, golden perfection! 🥢 Here’s what’s on the me...",N/A
7473884679008144658,https://www.tiktok.com/@shawndowhat/video/7473884679008144658,"Feb 21, 10:49 PM",No,488,20,1,"Discover Singapore’s 1st Mystery “Blind Box” Bingsu Cafe🍧 ✨ Order any bingsu and get a surprise Nana & Friends plushie through a cute vending machine! 🎁🍧 Try exciting flavors like Mango, Matcha, Straw...",N/A
7473534932359466248,https://www.tiktok.com/@shawndowhat/video/7473534932359466248,"Feb 21, 12:12 AM",No,704,24,2,"✨ Discover Alkove, where good food meets good people. Nestle in with a cup of coffee, savor our French onion soup, and indulge in our delicate pastries. 🥐☕️ 🚀 Don’t miss out on our offers: “Weekdays 1...",N/A
7472790492942454023,https://www.tiktok.com/@shawndowhat/video/7472790492942454023,"Feb 19, 12:03 AM",No,1002,24,1,"✨ Discover the charm of 馥苑 Fu Yuan Teochew Dining ✨ 🍽 Reservation Promo 🍽 Book on Chope to enjoy a Complimentary Creamy Pumpkin Boston Lobster 金瓜奶油波龙! Use Promo Code ""FYLOBSTER"". Reserve your table no...",N/A
7472257694632660242,https://www.tiktok.com/@shawndowhat/video/7472257694632660242,"Feb 17, 1:36 PM",No,947,68,3,"🍽️ Discover the flavor-packed world of halal Japanese BBQ at Waku Waku Yakiniku! 🔥 Located at 27 Bali Ln, Singapore, we're serving mouth-watering yakiniku that's perfect for every meat lover. 🇯🇵🥩 @Wak...",N/A
7472242250739715336,https://www.tiktok.com/@shawndowhat/video/7472242250739715336,"Feb 17, 12:36 PM",No,1960,79,3,"✨ Indulge in the flavors of Cantonese cuisine at Fook Kin! 🍽 📍 Location: 111 Killiney Rd, Singapore 239553 🍜 Featured Dishes: 300g Char Siew 300g Roast Pork Duck Drum (Herbal Dang Gui) Fried Rice Brai...",N/A
7470384015841742098,https://www.tiktok.com/@shawndowhat/video/7470384015841742098,"Feb 12, 12:25 PM",No,19K,123,3,"Meet Francis, the heart behind Tea Cottage! ❤️🍵 In 2011, he started a mission to promote health and wellness after his father’s health transformed with quality tea—clearing all nine heart blockages! 💪...",N/A
7470011651572485383,https://www.tiktok.com/@shawndowhat/video/7470011651572485383,"Feb 11, 12:20 PM",No,913,15,6,"🎉 **Exciting News!** 🎉 Mei Wei Bites, your go-to brand for delicious frozen Xiao Long Bao and Shui Jiao in the Philippines, is now open for franchise arrangements! 🌟 Calling all Singapore Overseas Fil...",N/A
7468916670417882386,https://www.tiktok.com/@shawndowhat/video/7468916670417882386,"Feb 8, 1:31 PM",No,1073,55,2,"BREAKFAST HACK ALERT! 🚨 Ichigo by Tea Cottage at Suntec Basement 1 serves the CHEAPEST Kopi O in Suntec for just 0.80 ☕️ and Americano at1.90! 🤑 Plus, their super value breakfast set is ONLY $4.50! 🥪🍳...",N/A
7460172445622783250,https://www.tiktok.com/@shawndowhat/video/7460172445622783250,"Jan 15, 11:59 PM",No,3986,98,5,Genuinely wondering if this is the next viral trend 😅 📍25 Bali Lane @Imsethsy in SG | 🇵🇭 in 🇸🇬 @kowboy.sg #wheretoeat #wagyubeef #burger #ufo #kowboy,N/A
7460087956921961746,https://www.tiktok.com/@shawndowhat/video/7460087956921961746,"Jan 15, 6:31 PM",No,1102,27,1,"✨ POV: Korean Comfort Food Meets Highball Heaven at KeonBae ✨ Craving bold Korean flavors and refreshing drinks? KeonBae is the spot to be! Tucked in the heart of the city, this cozy yet lively bar se...",N/A
7459744708026322184,https://www.tiktok.com/@shawndowhat/video/7459744708026322184,"Jan 14, 8:19 PM",No,889,13,1,"✨ POV: Bold and Authentic Flavors at Sichuan Alley ✨ Step into Sichuan Alley for an unforgettable dining experience in the heart of Telok Ayer. From the cozy ambiance to the exceptional service, this ...",N/A
7459394196860931336,https://www.tiktok.com/@shawndowhat/video/7459394196860931336,"Jan 13, 9:39 PM",No,995,19,1,"📍@Erdangjia Hot Pot 29 Carpenter St, Level 2, Singapore 059923 #wheretoeat #lalapot #wheretosing #curryfishhead #singapore",N/A
7457763767019949330,https://www.tiktok.com/@shawndowhat/video/7457763767019949330,"Jan 9, 12:12 PM",No,119K,4307,58,LUVE MEE United Square B1-09/64/65 #wheretoeat #instantnoodles #unitedsquaremall #novena #singapore,N/A
7457044558090669330,https://www.tiktok.com/@shawndowhat/video/7457044558090669330,"Jan 7, 1:41 PM",No,1417,41,11,"1 Expo Dr, Singapore 486150 #wheretoeat #lechon #roastedpork #filipinofood #singapore",N/A
7456839374349683986,https://www.tiktok.com/@shawndowhat/video/7456839374349683986,"Jan 7, 12:25 AM",No,1258,26,1,"3 Pickering St, 1-40/41 Nankin Row, Singapore 048660 #wheretoeat #aglioolio #pasta #italian #singapore",N/A
